"2012-09-21","08:11:01","schmidtwisser: RT @vimberlin: Next meetup is on Thursday, the 27th. We already got 3 great talks on the agenda. Hope to see you there: http://t.co/yetpSvmc","http://twitter.com/schmidtwisser/statuses/249058135535407104"
"2012-09-20","10:07:02","schmidtwisser: Arbeitszeugnis schreiben ist doof. #fb","http://twitter.com/schmidtwisser/statuses/248724943989260288"
"2012-09-20","07:46:02","schmidtwisser: @janl Mit dem Promo code kannst du bis dabei zu 1200 € sparen. ;)","http://twitter.com/schmidtwisser/statuses/248689459015581697"
"2012-09-18","16:18:58","schmidtwisser: @kriegs_recht Der fehlende Link zum Impressum ist nicht das größte Problem auf der Seite ;)","http://twitter.com/schmidtwisser/statuses/248093768635543552"
"2012-09-18","14:41:55","schmidtwisser: @meineerde wann ist Einweihung?","http://twitter.com/schmidtwisser/statuses/248069343823425537"
"2012-09-18","13:08:04","schmidtwisser: Amazon Cloud Player stores 250.000 Songs for 25 € / year. http://t.co/hnkLe6tT stores some hundred text message for 50 $ / year. #justsaying","http://twitter.com/schmidtwisser/statuses/248045727136235520"
"2012-09-18","12:49:48","schmidtwisser: @meineerde Wohoo - Das am Samstag besprochene Objekt?","http://twitter.com/schmidtwisser/statuses/248041130065809408"
"2012-09-18","10:05:45","schmidtwisser: @thegcat Ah: Es war also ein kulturelles Problem, dass ich die Botschaft nicht parsen konnte. Kannte die Wendung 'Geht's aus' nicht.","http://twitter.com/schmidtwisser/statuses/247999844793344000"
"2012-09-18","10:04:21","schmidtwisser: @mite No problem; just wanted to make sure to step on nobody's toes. Thanks","http://twitter.com/schmidtwisser/statuses/247999494912892928"
"2012-09-18","10:01:40","schmidtwisser: @mite is there a test sandbox for API developers or should I just use my account and mess with your production servers?","http://twitter.com/schmidtwisser/statuses/247998818145161217"
"2012-09-18","09:51:31","schmidtwisser: @thegcat Wo, zwischen den ganzen Namen, war da die Frage?","http://twitter.com/schmidtwisser/statuses/247996263688187904"
"2012-09-18","06:51:29","schmidtwisser: Jaaa ... Mac neugestartet, damit der Kopfhörer-Anschluss wieder geht.","http://twitter.com/schmidtwisser/statuses/247950958968045568"
